Measured Depth m,Weight on Bit kkgf,Average Standpipe Pressure kPa,Average Surface Torque kN.m,Rate of Penetration m/h,Average Rotary Speed rpm,Mud Flow In L/min,Mud Density In g/cm3,Diameter mm,Average Hookload kkgf,Hole Depth (TVD) m,USROP Gamma gAPI
491.033,5.842269726,9440.922214,0.244047231,42.864024,84,2784.321942,1.210000038,311.15,93.7802225,490.7603088,150.88
491.185,6.241431011,9499.941336,0.244047231,42.315384,84,2784.321942,1.210000038,311.15,93.97980314,490.91088,150.88
491.222,6.241431011,9499.941336,0.244047231,42.315384,84,2784.321942,1.210000038,311.15,93.97980314,490.91088,150.88
491.338,6.368436875,9313.024466,0.216930872,42.894504,84,2784.321942,1.210000038,311.15,94.07959346,491.061756,146.26
491.341,6.368436875,9313.024466,0.216930872,42.894504,84,2784.321942,1.210000038,311.15,94.07959346,491.061756,146.26
491.399,6.368436875,9313.024466,0.216930872,42.894504,84,2784.321942,1.210000038,311.15,94.07959346,491.061756,146.26
491.49,6.336685409,9252.557445,0.230489051,42.672,84,2784.321942,1.210000038,311.15,93.73032734,491.2123272,146.26
491.517,6.336685409,9252.557445,0.230489051,42.672,84,2784.321942,1.210000038,311.15,93.73032734,491.2123272,146.26
491.642,5.914844505,9437.61273,0.230489051,42.1386,84,2784.321942,1.210000038,311.15,93.88454874,491.3632032,146.26
491.694,5.914844505,9437.61273,0.230489051,42.1386,84,2784.321942,1.210000038,311.15,93.88454874,491.3632032,146.26
491.795,6.173392156,9448.437499,0.216930872,42.547032,84,2784.321942,1.210000038,311.15,93.83011766,491.5137744,146.26
491.871,6.173392156,9448.437499,0.216930872,42.547032,84,2784.321942,1.210000038,311.15,93.83011766,491.5137744,146.26
491.929,6.173392156,9448.437499,0.216930872,42.547032,84,2784.321942,1.210000038,311.15,93.83011766,491.5137744,146.26
491.947,6.214215469,9263.933794,0.162698154,42.501312,84,2784.321942,1.210000038,311.15,93.96619537,491.6646504,146.26
492.045,6.214215469,9263.933794,0.162698154,42.501312,84,2784.321942,1.210000038,311.15,93.96619537,491.6646504,146.26
492.1,6.023706674,9279.998579,0.013558179,41.675304,84,2784.321942,1.210000038,311.15,93.9344439,491.8152216,155.49
495.605,4.721896572,9435.406408,0.013558179,39.724584,84,2784.321942,1.210000038,311.15,95.39501133,495.2789688,144.72
