Measured Depth m,Weight on Bit kkgf,Average Standpipe Pressure kPa,Average Surface Torque kN.m,Rate of Penetration m/h,Average Rotary Speed rpm,Mud Flow In L/min,Mud Density In g/cm3,Diameter mm,Average Hookload kkgf,Hole Depth (TVD) m,USROP Gamma gAPI
301.231,3.834132843,13463.00049,4.159999267,64.5800017,208,4260.66992,1.029999991,444.5,95.12932641,301.220124,43.497
301.295,3.834132843,13463.00049,4.159999267,64.5800017,208,4260.66992,1.029999991,444.5,95.12932641,301.2853512,43.497
301.334,3.834132843,13463.00049,4.159999267,64.5800017,208,4260.66992,1.029999991,444.5,95.12932641,301.3246704,43.497
301.438,3.834132843,13463.00049,4.159999267,64.5800017,208,4260.66992,1.029999991,444.5,95.12932641,301.428912,43.497
301.447,3.834132843,13463.00049,4.159999267,64.5800017,208,4260.66992,1.029999991,444.5,95.12932641,301.4377512,38.664
301.542,3.834132843,13463.00049,4.159999267,64.5800017,208,4260.66992,1.029999991,444.5,95.12932641,301.5331536,38.664
301.6,3.834132843,13463.00049,4.159999267,64.5800017,208,4260.66992,1.029999991,444.5,95.12932641,301.5901512,41.081
301.648,3.834132843,13463.00049,4.159999267,64.5800017,208,4260.66992,1.029999991,444.5,95.12932641,301.6373952,41.081
301.749,3.834132843,13463.00049,4.159999267,64.5800017,208,4260.66992,1.029999991,444.5,95.12932641,301.7407224,41.081
301.752,3.834132843,13463.00049,4.159999267,64.5800017,208,4260.66992,1.029999991,444.5,95.12932641,301.7425512,41.081
301.85,3.834132843,13463.00049,4.159999267,64.5800017,208,4260.66992,1.029999991,444.5,95.12932641,301.8394776,41.081
301.904,3.834132843,13463.00049,4.159999267,64.5800017,208,4260.66992,1.029999991,444.5,95.12932641,301.8949512,43.497
301.935,3.834132843,13463.00049,4.159999267,64.5800017,208,4260.66992,1.029999991,444.5,95.12932641,301.925736,43.497
301.999,3.2630918,9204.000089,3.379999912,66.80999744,183,3436.149902,1.029999991,444.5,95.71056421,302.0100098,43.497
302.02,3.2630918,9204.000089,3.379999912,66.80999744,183,3436.149902,1.029999991,444.5,95.71056421,302.0098608,43.497
302.057,3.2630918,9204.000089,3.379999912,66.80999744,183,3436.149902,1.029999991,444.5,95.71056421,302.0473512,55.58
302.103,3.2630918,9204.000089,3.379999912,66.80999744,183,3436.149902,1.029999991,444.5,95.71056421,302.0930712,55.58
302.173,3.2630918,9204.000089,3.379999912,66.80999744,183,3436.149902,1.029999991,444.5,95.71056421,302.1643944,55.58
302.209,3.2630918,9204.000089,3.379999912,66.80999744,183,3436.149902,1.029999991,444.5,95.71056421,302.1997512,55.58
302.255,3.2630918,9204.000089,3.379999912,66.80999744,183,3436.149902,1.029999991,444.5,95.71056421,302.2463856,55.58
302.331,3.2630918,9204.000089,3.379999912,66.80999744,183,3436.149902,1.029999991,444.5,95.71056421,302.3213664,55.58
302.362,3.2630918,9204.000089,3.379999912,66.80999744,183,3436.149902,1.029999991,444.5,95.71056421,302.3521512,60.413
302.398,3.2630918,9204.000089,3.379999912,66.80999744,183,3436.149902,1.029999991,444.5,95.71056421,302.3893368,60.413
302.471,3.2630918,9204.000089,3.379999912,66.80999744,183,3436.149902,1.029999991,444.5,95.71056421,302.4615744,60.413
302.514,3.2630918,9204.000089,3.379999912,66.80999744,183,3436.149902,1.029999991,444.5,95.71056421,302.5045512,60.413
302.548,3.2630918,9204.000089,3.379999912,66.80999744,183,3436.149902,1.029999991,444.5,95.71056421,302.5371648,60.413
302.627,3.2630918,9204.000089,3.379999912,66.80999744,183,3436.149902,1.029999991,444.5,95.71056421,302.6158032,60.413
302.666,3.2630918,9204.000089,3.379999912,66.80999744,183,3436.149902,1.029999991,444.5,95.71056421,302.6569512,60.413
302.7,3.2630918,9204.000089,3.379999912,66.80999744,183,3436.149902,1.029999991,444.5,95.71056421,302.6889552,60.413
302.773,3.2630918,9204.000089,3.379999912,66.80999744,183,3436.149902,1.029999991,444.5,95.71056421,302.7636312,60.413
302.819,3.2630918,9204.000089,3.379999912,66.80999744,183,3436.149902,1.029999991,444.5,95.71056421,302.8093512,55.58
302.852,3.2630918,9204.000089,3.379999912,66.80999744,183,3436.149902,1.029999991,444.5,95.71056421,302.8425744,55.58
302.932,3.2630918,9204.000089,3.379999912,66.80999744,183,3436.149902,1.029999991,444.5,95.71056421,302.920908,55.58
302.971,3.2630918,9204.000089,3.379999912,66.80999744,183,3436.149902,1.029999991,444.5,95.71056421,302.9617512,65.246
302.999,5.088383785,9433.000186,4.829999755,52.47999948,182,3435.379881,1.029999991,444.5,93.88527132,303.0599977,65.246
303.011,5.088383785,9433.000186,4.829999755,52.47999948,182,3435.379881,1.029999991,444.5,93.88527132,303.0010704,65.246
303.09,5.088383785,9433.000186,4.829999755,52.47999948,182,3435.379881,1.029999991,444.5,93.88527132,303.0806232,65.246
303.124,5.088383785,9433.000186,4.829999755,52.47999948,182,3435.379881,1.029999991,444.5,93.88527132,303.1141512,67.662
303.172,5.088383785,9433.000186,4.829999755,52.47999948,182,3435.379881,1.029999991,444.5,93.88527132,303.1617,67.662
303.249,5.088383785,9433.000186,4.829999755,52.47999948,182,3435.379881,1.029999991,444.5,93.88527132,303.239424,67.662
303.276,5.088383785,9433.000186,4.829999755,52.47999948,182,3435.379881,1.029999991,444.5,93.88527132,303.2665512,65.246
303.331,5.088383785,9433.000186,4.829999755,52.47999948,182,3435.379881,1.029999991,444.5,93.88527132,303.3211104,65.246
303.413,5.088383785,9433.000186,4.829999755,52.47999948,182,3435.379881,1.029999991,444.5,93.88527132,303.402492,65.246
303.428,5.088383785,9433.000186,4.829999755,52.47999948,182,3435.379881,1.029999991,444.5,93.88527132,303.4189512,65.246
303.489,5.088383785,9433.000186,4.829999755,52.47999948,182,3435.379881,1.029999991,444.5,93.88527132,303.4805208,65.246
303.572,5.088383785,9433.000186,4.829999755,52.47999948,182,3435.379881,1.029999991,444.5,93.88527132,303.5631216,65.246
303.581,5.088383785,9433.000186,4.829999755,52.47999948,182,3435.379881,1.029999991,444.5,93.88527132,303.5713512,62.829
303.669,5.088383785,9433.000186,4.829999755,52.47999948,182,3435.379881,1.029999991,444.5,93.88527132,303.660048,62.829
303.733,5.088383785,9433.000186,4.829999755,52.47999948,182,3435.379881,1.029999991,444.5,93.88527132,303.7237512,48.33
303.773,5.088383785,9433.000186,4.829999755,52.47999948,182,3435.379881,1.029999991,444.5,93.88527132,303.7642896,48.33
303.876,5.088383785,9433.000186,4.829999755,52.47999948,182,3435.379881,1.029999991,444.5,93.88527132,303.867312,48.33
303.886,5.088383785,9433.000186,4.829999755,52.47999948,182,3435.379881,1.029999991,444.5,93.88527132,303.8758464,36.248
303.98,5.088383785,9433.000186,4.829999755,52.47999948,182,3435.379881,1.029999991,444.5,93.88527132,303.9712488,36.248
304.001,3.569006742,9101.999663,3.760000432,68.68000031,183,3435.18994,1.029999991,444.5,95.40464654,304.0400086,36.248
304.038,3.569006742,9101.999663,3.760000432,68.68000031,183,3435.18994,1.029999991,444.5,95.40464654,304.0282464,36.248
304.084,3.569006742,9101.999663,3.760000432,68.68000031,183,3435.18994,1.029999991,444.5,95.40464654,304.0754904,36.248
304.19,3.569006742,9101.999663,3.760000432,68.68000031,183,3435.18994,1.029999991,444.5,95.40464654,304.1806464,33.831
304.294,3.569006742,9101.999663,3.760000432,68.68000031,183,3435.18994,1.029999991,444.5,95.40464654,304.2836688,33.831
304.343,3.569006742,9101.999663,3.760000432,68.68000031,183,3435.18994,1.029999991,444.5,95.40464654,304.3330464,33.831
304.398,3.569006742,9101.999663,3.760000432,68.68000031,183,3435.18994,1.029999991,444.5,95.40464654,304.3879104,33.831
304.495,3.569006742,9101.999663,3.760000432,68.68000031,183,3435.18994,1.029999991,444.5,95.40464654,304.4854464,31.415
304.501,3.569006742,9101.999663,3.760000432,68.68000031,183,3435.18994,1.029999991,444.5,95.40464654,304.4918472,31.415
304.602,3.569006742,9101.999663,3.760000432,68.68000031,183,3435.18994,1.029999991,444.5,95.40464654,304.592736,31.415
304.648,3.569006742,9101.999663,3.760000432,68.68000031,183,3435.18994,1.029999991,444.5,95.40464654,304.6378464,28.998
304.706,3.569006742,9101.999663,3.760000432,68.68000031,183,3435.18994,1.029999991,444.5,95.40464654,304.6972824,28.998
304.8,3.569006742,9101.999663,3.760000432,68.68000031,183,3435.18994,1.029999991,444.5,95.40464654,304.7902464,28.998
304.812,3.569006742,9101.999663,3.760000432,68.68000031,183,3435.18994,1.029999991,444.5,95.40464654,304.8012192,28.998
304.916,3.569006742,9101.999663,3.760000432,68.68000031,183,3435.18994,1.029999991,444.5,95.40464654,304.905156,28.998
304.952,3.569006742,9101.999663,3.760000432,68.68000031,183,3435.18994,1.029999991,444.5,95.40464654,304.9426464,33.831
305.001,2.743036808,9498.999788,3.130000641,71.69999681,183,3435.18994,1.029999991,444.5,96.23062192,305,33.831
305.019,2.743036808,9498.999788,3.130000641,71.69999681,183,3435.18994,1.029999991,444.5,96.23062192,305.008788,33.831
305.105,2.743036808,9498.999788,3.130000641,71.69999681,183,3435.18994,1.029999991,444.5,96.23062192,305.0950464,36.248
305.12,2.743036808,9498.999788,3.130000641,71.69999681,183,3435.18994,1.029999991,444.5,96.23062192,305.1115056,36.248
305.224,2.743036808,9498.999788,3.130000641,71.69999681,183,3435.18994,1.029999991,444.5,96.23062192,305.2154424,36.248
305.257,2.743036808,9498.999788,3.130000641,71.69999681,183,3435.18994,1.029999991,444.5,96.23062192,305.2474464,36.248
305.327,2.743036808,9498.999788,3.130000641,71.69999681,183,3435.18994,1.029999991,444.5,96.23062192,305.3184648,36.248
305.41,2.743036808,9498.999788,3.130000641,71.69999681,183,3435.18994,1.029999991,444.5,96.23062192,305.3998464,31.415
305.431,2.743036808,9498.999788,3.130000641,71.69999681,183,3435.18994,1.029999991,444.5,96.23062192,305.4224016,31.415
305.532,2.743036808,9498.999788,3.130000641,71.69999681,183,3435.18994,1.029999991,444.5,96.23062192,305.522376,31.415
305.562,2.743036808,9498.999788,3.130000641,71.69999681,183,3435.18994,1.029999991,444.5,96.23062192,305.5522464,33.831
305.632,2.743036808,9498.999788,3.130000641,71.69999681,183,3435.18994,1.029999991,444.5,96.23062192,305.6223504,33.831
305.714,2.743036808,9498.999788,3.130000641,71.69999681,183,3435.18994,1.029999991,444.5,96.23062192,305.7046464,31.415
305.736,2.743036808,9498.999788,3.130000641,71.69999681,183,3435.18994,1.029999991,444.5,96.23062192,305.7259824,31.415
305.839,2.743036808,9498.999788,3.130000641,71.69999681,183,3435.18994,1.029999991,444.5,96.23062192,305.8296144,31.415
305.867,2.743036808,9498.999788,3.130000641,71.69999681,183,3435.18994,1.029999991,444.5,96.23062192,305.8570464,31.415
305.943,2.743036808,9498.999788,3.130000641,71.69999681,183,3435.18994,1.029999991,444.5,96.23062192,305.933856,31.415
306.001,3.630189548,13538.99994,3.929999666,68.83999623,199,4020.840089,1.029999991,444.5,95.343466,306.0299988,31.415
306.019,3.630189548,13538.99994,3.929999666,68.83999623,199,4020.840089,1.029999991,444.5,95.343466,306.0094464,36.248
306.047,3.630189548,13538.99994,3.929999666,68.83999623,199,4020.840089,1.029999991,444.5,95.343466,306.0377928,36.248
306.15,3.630189548,13538.99994,3.929999666,68.83999623,199,4020.840089,1.029999991,444.5,95.343466,306.1417296,36.248
306.172,3.630189548,13538.99994,3.929999666,68.83999623,199,4020.840089,1.029999991,444.5,95.343466,306.1618464,36.248
306.257,3.630189548,13538.99994,3.929999666,68.83999623,199,4020.840089,1.029999991,444.5,95.343466,306.2459712,36.248
306.324,3.630189548,13538.99994,3.929999666,68.83999623,199,4020.840089,1.029999991,444.5,95.343466,306.3142464,31.415
306.361,3.630189548,13538.99994,3.929999666,68.83999623,199,4020.840089,1.029999991,444.5,95.343466,306.349908,31.415
306.464,3.630189548,13538.99994,3.929999666,68.83999623,199,4020.840089,1.029999991,444.5,95.343466,306.4532352,31.415
306.476,3.630189548,13538.99994,3.929999666,68.83999623,199,4020.840089,1.029999991,444.5,95.343466,306.4666464,36.248
306.565,3.630189548,13538.99994,3.929999666,68.83999623,199,4020.840089,1.029999991,444.5,95.343466,306.5559528,36.248
306.629,3.630189548,13538.99994,3.929999666,68.83999623,199,4020.840089,1.029999991,444.5,95.343466,306.6190464,41.081
306.668,3.630189548,13538.99994,3.929999666,68.83999623,199,4020.840089,1.029999991,444.5,95.343466,306.6595848,41.081
306.772,3.630189548,13538.99994,3.929999666,68.83999623,199,4020.840089,1.029999991,444.5,95.343466,306.7632168,41.081
306.781,3.630189548,13538.99994,3.929999666,68.83999623,199,4020.840089,1.029999991,444.5,95.343466,306.7714464,38.664
306.876,3.630189548,13538.99994,3.929999666,68.83999623,199,4020.840089,1.029999991,444.5,95.343466,306.8668488,38.664
306.934,3.630189548,13538.99994,3.929999666,68.83999623,199,4020.840089,1.029999991,444.5,95.343466,306.9238464,38.664
306.979,3.630189548,13538.99994,3.929999666,68.83999623,199,4020.840089,1.029999991,444.5,95.343466,306.9704808,38.664
307.001,4.751877213,16019.99969,3.959999849,66.04000102,212,4427.229979,1.029999991,444.5,94.21158022,307.0199892,38.664
