Measured Depth m,Weight on Bit kkgf,Average Standpipe Pressure kPa,Average Surface Torque kN.m,Rate of Penetration m/h,Average Rotary Speed rpm,Mud Flow In L/min,Mud Density In g/cm3,Diameter mm,Average Hookload kkgf,Hole Depth (TVD) m,USROP Gamma gAPI
1306.525,0.390089438,5922.527567,6.521484331,70.420992,30,1993.927917,11.850475,444.5,121.871198,1283.159232,62.09
1307.135,2.676194983,5999.679901,7.443440536,91.619832,30,1993.927917,11.850475,444.5,120.5557801,1283.732256,76.33
1308.049,1.410672271,6138.333471,10.83298541,87.395304,30,1993.927917,11.850475,444.5,121.5219318,1284.591792,44.63
1309.268,2.213530766,6066.421152,13.49038859,92.854272,29,1993.927917,11.850475,444.5,119.6032361,1285.734792,76.33
1310.335,2.540117272,6015.951529,13.42259769,92.893896,30,1993.927917,11.850475,444.5,119.4671584,1286.737584,51.76
1311.097,7.865291696,6205.005774,12.59554874,38.273736,29.47,1993.927917,11.850475,444.5,118.0292706,1287.453864,70.46
1312.115,1.183876086,6199.627863,14.49369387,34.219896,29,1993.927917,11.850475,444.5,121.5264678,1288.310352,62.09
1314.755,6.186999927,6293.534457,13.39548133,68.805552,29,1993.927917,11.850475,444.5,116.9724004,1290.882864,56.81
1314.755,6.186999927,6293.534457,13.39548133,68.805552,29,1993.927917,11.850475,444.5,116.9724004,1290.882864,56.81
1315.06,2.009414199,6560.361564,11.76849979,25.764744,30,1993.927917,11.850475,444.5,119.4263351,1291.166328,62.09
1316.126,6.608840831,6298.29184,10.80586905,25.840944,29,1993.927917,11.850475,444.5,117.2218762,1292.166072,79.35
1317.041,7.429843021,20987.50331,8.256931305,13.4112,29,3987.855834,11.850475,444.5,117.4078491,1293.02256,54.26
1318.108,11.31259371,20906.55885,10.48047274,38.4048,29,3987.855834,11.850475,444.5,114.8405162,1294.019256,56.81
1319.001,4.368094523,20828.71704,7.456998716,15.334488,42.45,3987.855834,11.850475,444.5,118.360393,1294.732488,70.46
1320.08,5.062090849,20741.01573,11.64647618,19.662648,49.52,3987.855834,12.017384,444.5,118.6688358,1295.729184,46.95
1321.003,5.311566653,20757.4942,12.96161959,19.671792,49.39,3987.855834,12.017384,444.5,118.4737911,1296.72588,46.95
1322.07,4.336343057,20681.16924,10.84654359,19.671792,50,3987.855834,12.017384,444.5,119.9570382,1297.722576,62.09
1323.137,4.617570327,20654.62442,10.65672907,19.665696,49.84,3987.855834,12.017384,444.5,119.3038652,1298.716224,62.09
1324.356,4.154906109,11632.83451,9.96526192,19.680936,49,2880.13072,12.017384,444.5,119.9207508,1299.853128,73.36
1325.118,4.817150969,12235.22945,11.18549807,19.683984,49.14,2968.747215,12.017384,444.5,119.0498534,1300.563312,49.33
1326.185,2.780521228,12254.67267,10.62961271,19.6596,50,2968.747215,12.017384,444.5,121.0501958,1301.55696,62.09
1327.008,4.476956692,12260.32637,11.75494161,19.662648,49.45,2968.747215,12.017384,444.5,119.5714847,1302.267144,62.09
1328.001,3.896358458,12230.05838,11.57868528,19.668744,49.62,2968.747215,12.017384,444.5,120.025077,1303.117536,73.36
1329.001,4.558603319,12219.78519,12.32438515,19.67484,49.04,2968.747215,12.017384,444.5,119.2766496,1304.111184,82.43
1330.211,3.415550546,16346.09059,10.91433448,19.677888,49.47,3500.446185,12.017384,444.5,120.2790888,1305.241992,64.82
1331.116,2.993709642,18570.27035,10.00593646,21.064728,49,3766.333524,12.017384,444.5,121.5763629,1306.092384,64.82
