Measured Depth m,Weight on Bit kkgf,Average Standpipe Pressure kPa,Average Surface Torque kN.m,Rate of Penetration m/h,Average Rotary Speed rpm,Mud Flow In L/min,Mud Density In g/cm3,Diameter mm,Average Hookload kkgf,Hole Depth (TVD) m,USROP Gamma gAPI
1400.55,5.822579734,16523.3548,12.14812882,19.961352,99.93,3544.773359,1.429999994,311.15,119.7350759,1367.018856,126.46
1401.019,1.427602606,17083.69173,11.60580164,19.982688,100,3665.225169,1.429999994,311.15,121.7337187,1367.567496,132.55
1402.159,1.68253195,20244.93794,12.20236153,19.985736,99.54,3987.855834,1.429999994,311.15,122.1823964,1368.533712,138.79
1403.019,1.62134869,19630.99976,8.910000339,20.70000066,100,3934.69995,1.429999994,311.15,122.2435769,1368.829956,126.46
1404,1.478588656,20264.99939,9.13999994,20.70000066,99,4003.820067,1.429999994,311.15,123.0593528,1369.699951,123.47
1405.015,1.468391446,19052.00043,9.460000092,20.45999901,100,3856.520018,1.429999994,311.15,123.1613231,1370.579956,126.46
1406.21,1.427602606,17540.74519,12.77180507,19.967448,99,3717.577417,1.440000108,311.15,123.2021124,1372.249224,111.85
1407.015,1.386814219,18300.99945,9.550000643,20.70000066,100,3773.100099,1.440000108,311.15,123.2429021,1372.339966,95.51
1408.011,1.356222589,18130.99975,9.520000459,20.73999987,99,3745.500001,1.440000108,311.15,123.2836919,1373.209961,103.52
1409.09,1.335828169,20432.82008,15.11737012,30.153864,99,3987.855834,1.440000108,311.15,123.2938909,1374.867456,98.14
1410.005,1.366419799,20525.96825,16.79858438,30.208728,100,3987.855834,1.440000108,311.15,123.2734924,1375.693464,90.35
1411.001,1.68253195,20463.00049,11.72999999,30.05999932,99,4003.820067,1.440000108,311.15,122.9471835,1375.849975,103.52
1412.001,1.62134869,20442.99927,12.89999902,30.04999913,120,4003.820067,1.440000108,311.15,123.008364,1376.719971,103.52
1413.001,1.64174311,20472.00013,14.67000037,29.709999,118,4003.820067,1.440000108,311.15,122.9981723,1377.589966,92.91
1414.001,1.794700354,20522.00012,16.0200005,30.27000042,120,4003.820067,1.450000102,311.15,122.8350142,1378.449951,92.91
1415.037,1.784503598,20851.53869,22.5336943,30.141672,119,3987.855834,1.440000108,311.15,122.8452132,1379.991449,98.14
1416.101,2.049629699,20146.7566,11.9583143,29.36000051,79.46,3987.855834,1.440000108,311.15,122.5902843,1381.210344,87.82
1417.015,5.210749852,20094.56329,14.85976471,64.29756,79,3987.855834,1.440000108,311.15,119.4291655,1382.0394,103.52
1418.539,5.210749852,20196.53675,11.79561615,20.144232,80,3987.855834,1.440000108,311.15,119.4291655,1383.417096,90.35
1419.301,5.210749852,20045.54156,15.48344097,20.128992,80,3987.855834,1.440000108,311.15,119.4291655,1384.108992,109.04
1420.063,5.210749852,20112.35176,12.0261052,20.122896,79.47,3987.855834,1.440000108,311.15,119.4291655,1384.800888,100.81
1432.011,2.33515022,20019.99969,8.899999826,17.70999923,80,4005.080079,1.460000096,311.15,123.9567005,1394.079956,103.52
1433.017,2.30455859,20087.87537,11.76714397,18.208752,79.73,3987.855834,1.460000096,311.15,123.9872907,1396.523496,109.04
1434.054,2.508501884,20107.00073,8.470000808,12.0900002,79,4005.120117,1.460000096,311.15,123.7731511,1395.810059,120.51
1435.096,2.508501884,20172.95668,12.04644247,12.60348,79.59,3987.855834,1.460000096,311.15,123.7731511,1398.309624,98.14
1436.001,2.212784153,8348.000334,1.369999804,4.360000018,80,1673.150026,1.460000096,311.15,96.85264947,1399.23999,106.26
