Measured Depth m,Weight on Bit kkgf,Average Standpipe Pressure kPa,Average Surface Torque kN.m,Rate of Penetration m/h,Average Rotary Speed rpm,Mud Flow In L/min,Mud Density In g/cm3,Diameter mm,Average Hookload kkgf,Hole Depth (TVD) m,USROP Gamma gAPI
225.171,0.560843832,8883.999635,1.440000685,3.349999802,144,3478.899903,1.029999991,444.5,95.54740612,225.1627704,16.916
225.18,0.560843832,8883.999635,1.440000685,3.349999802,144,3478.899903,1.029999991,444.5,95.54740612,225.1731336,16.916
225.189,0.560843832,8883.999635,1.440000685,3.349999802,144,3478.899903,1.029999991,444.5,95.54740612,225.1828872,16.916
225.229,0.560843832,8883.999635,1.440000685,3.349999802,144,3478.899903,1.029999991,444.5,95.54740612,225.2215968,16.916
225.238,0.560843832,8883.999635,1.440000685,3.349999802,144,3478.899903,1.029999991,444.5,95.54740612,225.2313504,16.916
225.247,0.560843832,8883.999635,1.440000685,3.349999802,144,3478.899903,1.029999991,444.5,95.54740612,225.2398848,16.916
225.262,0.560843832,8883.999635,1.440000685,3.349999802,144,3478.899903,1.029999991,444.5,95.54740612,225.25482,16.916
225.265,0.560843832,8883.999635,1.440000685,3.349999802,144,3478.899903,1.029999991,444.5,95.54740612,225.2596968,16.916
225.278,0.560843832,8883.999635,1.440000685,3.349999802,144,3478.899903,1.029999991,444.5,95.54740612,225.2697552,16.916
225.281,0.560843832,8883.999635,1.440000685,3.349999802,144,3478.899903,1.029999991,444.5,95.54740612,225.274632,16.916
225.287,0.560843832,8883.999635,1.440000685,3.349999802,144,3478.899903,1.029999991,444.5,95.54740612,225.2798136,16.916
225.296,0.560843832,8883.999635,1.440000685,3.349999802,144,3478.899903,1.029999991,444.5,95.54740612,225.289872,16.916
225.302,0.560843832,8883.999635,1.440000685,3.349999802,144,3478.899903,1.029999991,444.5,95.54740612,225.2950536,16.916
225.314,0.560843832,8883.999635,1.440000685,3.349999802,144,3478.899903,1.029999991,444.5,95.54740612,225.3054168,16.916
225.323,0.560843832,8883.999635,1.440000685,3.349999802,144,3478.899903,1.029999991,444.5,95.54740612,225.3151704,16.916
225.326,0.560843832,8883.999635,1.440000685,3.349999802,144,3478.899903,1.029999991,444.5,95.54740612,225.3200472,16.916
225.339,0.560843832,8883.999635,1.440000685,3.349999802,144,3478.899903,1.029999991,444.5,95.54740612,225.3307152,16.916
225.354,0.560843832,8883.999635,1.440000685,3.349999802,144,3478.899903,1.029999991,444.5,95.54740612,225.3453456,16.916
225.363,0.560843832,8883.999635,1.440000685,3.349999802,144,3478.899903,1.029999991,444.5,95.54740612,225.3557088,16.916
225.372,0.560843832,8883.999635,1.440000685,3.349999802,144,3478.899903,1.029999991,444.5,95.54740612,225.3651576,16.916
225.378,0.560843832,8883.999635,1.440000685,3.349999802,144,3478.899903,1.029999991,444.5,95.54740612,225.3700344,16.916
225.387,0.560843832,8883.999635,1.440000685,3.349999802,144,3478.899903,1.029999991,444.5,95.54740612,225.3803976,16.916
225.4,0.560843832,8883.999635,1.440000685,3.349999802,144,3478.899903,1.029999991,444.5,95.54740612,225.3922848,16.916
225.403,0.560843832,8883.999635,1.440000685,3.349999802,144,3478.899903,1.029999991,444.5,95.54740612,225.3953328,16.916
225.412,0.560843832,8883.999635,1.440000685,3.349999802,144,3478.899903,1.029999991,444.5,95.54740612,225.4050864,16.916
225.418,0.560843832,8883.999635,1.440000685,3.349999802,144,3478.899903,1.029999991,444.5,95.54740612,225.4108776,16.916
225.424,0.560843832,8883.999635,1.440000685,3.349999802,144,3478.899903,1.029999991,444.5,95.54740612,225.4154496,16.916
225.427,0.560843832,8883.999635,1.440000685,3.349999802,144,3478.899903,1.029999991,444.5,95.54740612,225.4203264,16.916
225.433,0.560843832,8883.999635,1.440000685,3.349999802,144,3478.899903,1.029999991,444.5,95.54740612,225.4258128,16.916
225.439,0.560843832,8883.999635,1.440000685,3.349999802,144,3478.899903,1.029999991,444.5,95.54740612,225.4312992,16.916
225.454,0.560843832,8883.999635,1.440000685,3.349999802,144,3478.899903,1.029999991,444.5,95.54740612,225.4471488,16.916
225.464,0.560843832,8883.999635,1.440000685,3.349999802,144,3478.899903,1.029999991,444.5,95.54740612,225.455988,16.916
225.473,0.560843832,8883.999635,1.440000685,3.349999802,144,3478.899903,1.029999991,444.5,95.54740612,225.466656,16.916
225.479,0.560843832,8883.999635,1.440000685,3.349999802,144,3478.899903,1.029999991,444.5,95.54740612,225.4721424,16.916
225.491,0.560843832,8883.999635,1.440000685,3.349999802,144,3478.899903,1.029999991,444.5,95.54740612,225.4825056,16.916
225.503,0.560843832,8883.999635,1.440000685,3.349999802,144,3478.899903,1.029999991,444.5,95.54740612,225.497136,16.916
225.515,0.560843832,8883.999635,1.440000685,3.349999802,144,3478.899903,1.029999991,444.5,95.54740612,225.5065848,16.916
225.528,0.560843832,8883.999635,1.440000685,3.349999802,144,3478.899903,1.029999991,444.5,95.54740612,225.5218248,16.916
225.537,0.560843832,8883.999635,1.440000685,3.349999802,144,3478.899903,1.029999991,444.5,95.54740612,225.5309688,16.916
225.552,0.560843832,8883.999635,1.440000685,3.349999802,144,3478.899903,1.029999991,444.5,95.54740612,225.5446848,16.916
225.564,0.560843832,8883.999635,1.440000685,3.349999802,144,3478.899903,1.029999991,444.5,95.54740612,225.5559624,16.916
225.573,0.560843832,8883.999635,1.440000685,3.349999802,144,3478.899903,1.029999991,444.5,95.54740612,225.5660208,16.916
